('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q186473', 'Совета Федерации', 'ORGANIZATION')	Pred: ('Q186473', 'Совет Федерации')
('Q33581', 'Славянска', 'CITY')	Pred: ('Q405978', 'Славяново')
('Q259843', 'Серго Орджоникидзе', 'PERSON')	Pred: ('Q259843', 'Серго Орджоникидзе')
('Q892623', 'Владимир Рыбак', 'PERSON')	Pred: ('Q892623', 'Владимир Рыбак')
('Q3397406', 'министра здравоохранения Великобритании', 'PROFESSION')	Pred: ('Q3397406', 'Министр здравоохранения Великобритании')
('Q18438', 'Лонг-Айленде', 'STATE_OR_PROVINCE')	Pred: ('Q676151', 'Лудвайс-Айген')
('Q1517401', 'Таврического Национального Университета', 'ORGANIZATION')	Pred: ('Q1517401', 'Таврический национальный университет')
('Q2861548', 'Аркадий', 'PERSON')	Pred: ('Q4069390', 'Аркадий')
('Q44380', 'Кэмерон Диаз', 'PERSON')	Pred: ('Q44380', 'Кэмерон Диаз')
('Q611420', 'Математического института лаборатории прикладных вероятностных и алгоритмических методов им. В.\xa0А.\xa0Стеклова РАН', 'ORGANIZATION')	Pred: ('Q21663753', 'Институт прикладной геофизики имени академика Е. К. Федорова')
('Q158852', 'дирижёров', 'PROFESSION')	Pred: ('Q833502', 'Дирижёр')
('Q260542', 'Газпром-медиа', 'ORGANIZATION')	Pred: ('Q260542', 'Газпром-медиа')
('Q42884', 'немка', 'NATIONALITY')	Pred: ('Q28664634', 'Домка')
('Q8008791', 'Уильям Гэлвин', 'PERSON')	Pred: ('Q290962', 'Уильям Уэллман')
('Q1962613', 'Первый московский мединститут', 'ORGANIZATION')	Pred: ('Q1962613', 'Первый московский медицинский институт')
('Q25271', 'Международной космической станции', 'FACILITY')	Pred: ('Q25271', 'Международной космической станции')
('Q16157323', 'Коралово', 'CITY')	Pred: ('Q16157323', 'Коралово')
('Q98485', 'Томаса Шефера', 'PERSON')	Pred: ('Q202570', 'Колесо Ферриса')
('Q4402361', 'Константин Рябинов', 'PERSON')	Pred: ('Q4402361', 'Константин Рябинов')
('Q472834', 'Тайский', 'NATIONALITY')	Pred: ('Q23838049', 'Тайский')
('Q2577002', 'Следственного комитета России', 'ORGANIZATION')	Pred: ('Q2577002', 'Следственный комитет России')
('Q184566', 'Таунса', 'PERSON')	Pred: ('Q21854017', 'Таракса')
('Q130796', 'Пакт Молотова-Риббентропа', 'LAW')	Pred: ('Q130796', 'Пакт Молотова-Риббентропа')
('Q298532', 'Лейла', 'PERSON')	Pred: ('Q2727353', 'Лейла')
('Q13219587', 'фигурист', 'PROFESSION')	Pred: ('Q1397677', 'Почти герои')
('Q47170', 'Нобелевскую премию по экономике', 'AWARD')	Pred: ('Q47170', 'Нобелевская премия по экономике')
('Q27275', 'центральноазиатской', 'LOCATION')	Pred: ('Q771405', 'Южноазиатские народы')
('Q2861548', 'Аркадием', 'PERSON')	Pred: ('Q2214515', 'Арройуш')
('Q196469', 'Сретенск', 'CITY')	Pred: ('Q196469', 'Сретенск')
('Q4110593', 'Видео Интернешнл', 'ORGANIZATION')	Pred: ('Q4110593', 'Видео Интернешнл')
('Q30', 'Американского', 'COUNTRY')	Pred: ('Q470125', 'Американист')
('Q903822', 'Демократической прогрессивной партии', 'ORGANIZATION')	Pred: ('Q903822', 'Демократическая прогрессивная партия')
('Q875556', 'израильтянку', 'NATIONALITY')	Pred: ('Q4058458', 'Азрикан')
('Q192647', 'хуту', 'NATIONALITY')	Pred: ('Q16016943', 'Кутугай')
('Q4142113', 'Сергей Голомазов', 'PERSON')	Pred: ('Q4142113', 'Сергей Голомазов')
('Q2256', 'Бирмингем', 'CITY')	Pred: ('Q2256', 'Бирмингем')
('Q208233', 'Императору Японии', 'PROFESSION')	Pred: ('Q2915131', 'Печать Императора Японии')
('Q5470', 'столице Чувашии', 'CITY')	Pred: ('Q16911984', 'Президент Чувашии')
('Q1028181', 'художник', 'PROFESSION')	Pred: ('Q2043606', 'Иран')
('Q1218', 'Иерусалиме', 'CITY')	Pred: ('Q223727', 'Бейтар Иерусалим')
('Q37922', 'Нобелевской премией по литературе', 'AWARD')	Pred: ('Q6461210', 'Лауреаты Нобелевской премии по литературе')
('Q4146895', 'музыкального театра Мордовии', 'ORGANIZATION')	Pred: ('Q968189', 'Белорусский музыкальный театр')
('Q692', 'шекспировского', 'PERSON')	Pred: ('Q4397379', 'Романовское')
('Q702269', 'специалистом', 'PROFESSION')	Pred: ('Q4165596', 'Дом специалистов')
('Q29468', 'Республиканской партии', 'ORGANIZATION')	Pred: ('Q4157158', 'Дело Республиканской партии России')
('Q184299', 'шаху', 'PROFESSION')	Pred: ('Q57822', 'Покау')
('Q191', 'Эстонию', 'COUNTRY')	Pred: ('Q949423', 'История Эстонии')
('Q4109862', 'Весёлые картинки', 'WORK_OF_ART')	Pred: ('Q4109862', 'Весёлые картинки')
('Q906898', 'Дмитрий Фирташ', 'PERSON')	Pred: ('Q906898', 'Дмитрий Фирташ')
('Q219060', 'Палестинской автономии', 'COUNTRY')	Pred: ('Q42620', 'Палестинская автономия')
('Q11124885', 'мастера боевых искусств', 'PROFESSION')	Pred: ('Q2251025', 'Школа изящных искусств')
('Q15850', 'Александр Турчинов', 'PERSON')	Pred: ('Q15850', 'Александр Турчинов')
('Q31487', 'Кракове', 'CITY')	Pred: ('Q85495', 'Кракер')
('Q188779', 'норвежца', 'NATIONALITY')	Pred: ('Q100129', 'Кальвенцано')
('Q219745', 'Кировского района', 'DISTRICT')	Pred: ('Q4221678', 'Кировский район')
('Q1289882', 'Мы не женаты!', 'WORK_OF_ART')	Pred: ('Q1289882', 'Мы не женаты!')
('Q48942', 'Школьники', 'PROFESSION')	Pred: ('Q4223479', 'Клешники')
('Q25369', 'Коби', 'PERSON')	Pred: ('Q1325277', 'Коби')
('Q215', 'Словении', 'COUNTRY')	Pred: ('Q1659009', 'Словене')
('Q6867233', 'Министерством внутренних дел Пакистана', 'ORGANIZATION')	Pred: ('Q6867232', 'Министерство внутренних дел Ирака')
('Q778161', 'Печати зла', 'WORK_OF_ART')	Pred: ('Q2368103', 'Пеперуда')
('Q7056660', 'North Shore', 'LOCATION')	Pred: ('Q392623', 'Самар')
('Q92631', 'Томлинсон', 'PERSON')	Pred: ('Q7339997', 'Бротон Роб')
('Q1791059', 'Куэнга', 'LOCATION')	Pred: ('Q1791059', 'Куэнга')
('Q4209317', 'Игорь Калетник', 'PERSON')	Pred: ('Q4209317', 'Калетник Игорь')
('Q219615', 'Университета Барселоны', 'ORGANIZATION')	Pred: ('Q219615', 'Университет Барселоны')
('Q17276321', 'депутатом Госдумы', 'PROFESSION')	Pred: ('Q715641', 'Депутат Госдумы')
('Q1492', 'Барселоны', 'CITY')	Pred: ('Q15348', 'Барселонес')
('Q158852', 'дирижёр', 'PROFESSION')	Pred: ('Q35037', 'Ндьюка')
('Q486839', 'депутатом', 'PROFESSION')	Pred: ('Q4316268', 'Независимый депутат')
('Q35', 'Данию', 'COUNTRY')	Pred: ('Q202994', 'Падаль')
('Q210364', 'Остров проклятых', 'WORK_OF_ART')	Pred: ('Q210364', 'Остров проклятых')
('Q23530', 'Дмитрий Медведев', 'PERSON')	Pred: ('Q23530', 'Дмитрий Медведев')
('Q1391', 'Мэриленд', 'STATE_OR_PROVINCE')	Pred: ('Q1391', 'Мэриленд')
('Q16646745', 'Борис Дубровский', 'PERSON')	Pred: ('Q21096868', 'Владимир Дубровский')
('Q1476440', 'Р-257', 'FACILITY')	Pred: ('Q25388138', 'Р-807')
('Q18066676', 'Арсеном Павловым', 'PERSON')	Pred: ('Q61746676', 'Арсений Новгородский')
('Q138908', 'Большом театре', 'FACILITY')	Pred: ('Q138908', 'Большой театр')
('Q241', 'кубинского', 'COUNTRY')	Pred: ('Q1328358', 'Кубинская кухня')
('Q40', 'Австрии', 'COUNTRY')	Pred: ('Q237534', 'Австриец')
('Q463877', 'Мелинды Гейтс', 'PERSON')	Pred: ('Q463877', 'Мелинда Гейтс')
('Q4098769', 'Павлом Булатниковым', 'PERSON')	Pred: ('Q2027476', 'Бугорский Анатолий')
('Q1318423', 'австралийская', 'NATIONALITY')	Pred: ('Q12060728', 'Коренные австралийцы')
('Q740036', 'Нил Эндрю Мэгсон', 'PERSON')	Pred: ('Q4757919', 'Макбейн Эндрю')
('Q2041767', 'МГД', 'ORGANIZATION')	Pred: ('Q18543', 'МЛС')
('Q259327', 'спасатели', 'PROFESSION')	Pred: ('Q4158449', 'День спасателя')
('Q15960736', '112 Украина', 'ORGANIZATION')	Pred: ('Q1332918', 'Артем')
('Q921', 'Бруней', 'COUNTRY')	Pred: ('Q921', 'Бруней')
('Q812', 'Флориды', 'STATE_OR_PROVINCE')	Pred: ('Q16272319', 'Флориды')
('Q22686', 'Трампе', 'PERSON')	Pred: ('Q1345862', 'Куре')
('Q239', 'брюссельский', 'CITY')	Pred: ('Q150463', 'Капуста брюссельская')
('Q23406', 'Красное море', 'LOCATION')	Pred: ('Q310120', 'Красное море')
('Q1841', 'католицизм', 'RELIGION')	Pred: ('Q1841', 'Католицизм')
('Q39018', 'императора', 'PROFESSION')	Pred: ('Q2618625', 'Российский император')
('Q801', 'Израильская', 'COUNTRY')	Pred: ('Q19829830', 'Израильский')
('Q11268', 'Конгресса США', 'ORGANIZATION')	Pred: ('Q3849084', 'Комиссия конгресса США')
('Q863', 'таджикского', 'COUNTRY')	Pred: ('Q9260', 'Таджикский')
('Q255', 'Людвига ван Бетховена', 'PERSON')	Pred: ('Q255', 'Людвиг ван Бетховен')
('Q1824959', 'Лили', 'WORK_OF_ART')	Pred: ('Q1824959', 'Лили')
('Q208233', 'Императору', 'PROFESSION')	Pred: ('Q1413522', 'Имперсонатор')
('Q136412', 'ледовом спортивном комплексе ЦСКА', 'FACILITY')	Pred: ('Q4438156', 'Спортивный аэродром')
('Q4374313', 'постпред России при ООН', 'PROFESSION')	Pred: ('Q4374313', 'Постоянный представитель России при ООН')
('Q14213', 'Госсекретарь США', 'PROFESSION')	Pred: ('Q14213', 'Госсекретарь США')
('Q15628703', 'Высшей партийной школе при ЦК КПСС', 'ORGANIZATION')	Pred: ('Q15628703', 'Высшая партийная школа при ЦК КПСС')
('Q384593', 'Полицейские', 'PROFESSION')	Pred: ('Q558102', 'Полицейские')
('Q1563383', 'Совета национальной безопасности и обороны Украины', 'ORGANIZATION')	Pred: ('Q1563383', 'Совет национальной безопасности и обороны Украины')
('Q17143199', 'судмедэксперта', 'PROFESSION')	Pred: ('Q301784', 'Роэкс')
('Q58720', 'М.\xa0В.\xa0Ломоносова', 'PERSON')	Pred: ('Q58720', 'М. В. Ломоносов')
('Q983851', 'Владимир Иосифович Ресин', 'PERSON')	Pred: ('Q983851', 'Владимир Иосифович Ресин')
('Q462', 'Звёздным войнам', 'WORK_OF_ART')	Pred: ('Q4189823', 'Звёздные корабли')
('Q738947', 'Партия реформ Эстонии', 'ORGANIZATION')	Pred: ('Q738947', 'Партия реформ Эстонии')
('Q57394', 'Назарбаев', 'PERSON')	Pred: ('Q57394', 'Назарбаев')
('Q1841', 'католик', 'RELIGION')	Pred: ('Q2297507', 'Такотна')
('Q2252262', 'хип-хоп-исполнитель', 'PROFESSION')	Pred: ('Q420883', 'ЛГБТ-хип-хоп')
('Q60990917', 'Титэцу', 'PERSON')	Pred: ('Q200076', 'Тиц')
('Q1860', 'английского', 'LANGUAGE')	Pred: ('Q939451', 'Сингапурский английский')
('Q18016298', 'Brutto', 'ORGANIZATION')	Pred: ('Q53868', 'Клето')
('Q17042', 'Окленде', 'CITY')	Pred: ('Q699340', 'Роксферде')
('Q15294742', 'Россия сегодня', 'ORGANIZATION')	Pred: ('Q15294742', 'Россия сегодня')
('Q1837906', 'мэра Москвы', 'PROFESSION')	Pred: ('Q4189950', 'Здание мэрии Москвы')
('Q4534804', 'Юревича', 'PERSON')	Pred: ('Q4131591', 'Гаевичи')
('Q4014752', 'Bolt', 'PERSON')	Pred: ('Q1065962', 'Оркатт')
('Q6279', 'Джо Байдена', 'PERSON')	Pred: ('Q6279', 'Джо Байден')
('Q1078890', 'Лицо', 'WORK_OF_ART')	Pred: ('Q3778211', 'Лицо')
('Q1922067', 'президент Турции', 'PROFESSION')	Pred: ('Q216984', 'Президент Турции')
('Q483501', 'артисткой', 'PROFESSION')	Pred: ('Q4171390', 'Душа артистки')
('Q2389338', 'Алексей Венедиктов', 'PERSON')	Pred: ('Q2389338', 'Алексей Венедиктов')
('Q18400189', 'Батальоны просят огня', 'WORK_OF_ART')	Pred: ('Q4079314', 'Батальоны просят огня')
('Q213417', 'Yankee', 'ORGANIZATION')	Pred: ('Q24937115', 'Кенхой')
('Q158852', 'дирижер', 'PROFESSION')	Pred: ('Q158852', 'Дирижер')
('Q181634', 'шотландский', 'NATIONALITY')	Pred: ('Q4306509', 'Музей шотландского футбола')
('Q4745666', 'Americas Society', 'ORGANIZATION')	Pred: ('Q4071530', 'Ассоциация юристов России')
('Q779815', 'мультипликаторов-режиссёров', 'PROFESSION')	Pred: ('Q1051856', 'Нетто-экспортёр')
('Q510511', 'ландтаге Гессена', 'ORGANIZATION')	Pred: ('Q569776', 'Бальдринген')
('Q15093', 'Сьюдад Реаль', 'STATE_OR_PROVINCE')	Pred: ('Q1067750', 'Реал Сосьедад Б')
('Q1127126', 'пакту', 'LAW')	Pred: ('Q383622', 'Паксе')
('Q9531', 'Би-би-си', 'ORGANIZATION')	Pred: ('Q9531', 'Би-би-си')
('Q51584', 'Густавом Леонхардтом', 'PERSON')	Pred: ('Q4087065', 'Бирон Густав')
('Q863', 'Таджикистана', 'COUNTRY')	Pred: ('Q1780620', 'КП Таджикистана')
('Q414147', 'АН', 'ORGANIZATION')	Pred: ('Q415811', 'Герман')
('Q649', 'Московского', 'CITY')	Pred: ('Q1949369', 'Московское')
('Q18809', 'А.В. Луначарского', 'PERSON')	Pred: ('Q42609108', 'С.В. Бачевский')
('Q17738', 'Звёздные войны. Эпизод IV: Новая надежда', 'WORK_OF_ART')	Pred: ('Q2715371', 'Звёздные войны. Эпизод IV: Новая надежда')
('Q7777707', 'Thee Majesty', 'ORGANIZATION')	Pred: ('Q12017057', 'Геритес')
('Q671930', 'Мехрибан Алиеву', 'PERSON')	Pred: ('Q44155526', 'Мехтиев Закир')
('Q159288', 'Санта-Барбаре', 'CITY')	Pred: ('Q1413807', 'Миссия Санта-Барбара')
('Q39631', 'доктора', 'PROFESSION')	Pred: ('Q262432', 'Дер')
('Q19840232', 'Ип Ман', 'WORK_OF_ART')	Pred: ('Q573743', 'Ип Ман')
('Q100887068', 'Raddix Madden', 'PERSON')	Pred: ('Q32671', 'Набайш')
('Q1972493', 'Большой Никитской', 'FACILITY')	Pred: ('Q1972493', 'Большая Никитская')
('Q7755', 'конституцию', 'LAW')	Pred: ('Q4533620', 'Югай Борис')
('Q7625458', "'Strutt & Parker'", 'ORGANIZATION')	Pred: ('Q4042911', "Лилия 'Pearl Jennifer'")
('Q1274521', 'EFE', 'ORGANIZATION')	Pred: ('Q800805', 'Галера')
('Q37660', 'Южно-Китайском море', 'LOCATION')	Pred: ('Q37660', 'Южно-Китайское море')
('Q471730', 'Яценюка', 'PERSON')	Pred: ('Q18575450', 'Второе правительство Яценюка')
('Q159', 'российская', 'NATIONALITY')	Pred: ('Q2428799', 'Российская')
('Q263937', 'Пляска Солнца', 'WORK_OF_ART')	Pred: ('Q263937', 'Пляска Солнца')
('Q65', 'лос-анджелесской', 'CITY')	Pred: ('Q16712617', 'Френель-Курель')
('Q16668567', 'Кулаков', 'PERSON')	Pred: ('Q423635', 'Кулаков')
('Q1113233', 'Малом драматическом театре', 'ORGANIZATION')	Pred: ('Q4279241', 'Малый драматический театр')
('Q142', 'Францию', 'COUNTRY')	Pred: ('Q191954', 'Президент Франции')
('Q2269756', 'Министерства образования', 'ORGANIZATION')	Pred: ('Q9404048', 'Министерство образования')
('Q804633', 'эквилибристом', 'PROFESSION')	Pred: ('Q13424729', 'Нейтрализм')
('Q145', 'Замминистра здравоохранения Великобритании', 'PROFESSION')	Pred: ('Q4294371', 'Министерство здравоохранения Австралии')
('Q211043', 'Русского музея', 'ORGANIZATION')	Pred: ('Q4400729', 'Русский археологический институт')
('Q472024', 'Зельдина', 'PERSON')	Pred: ('Q673564', 'Зельпин')
('Q31', 'бельгийская', 'COUNTRY')	Pred: ('Q13437153', 'Бельгийская бельга')
('Q906898', 'Фирташа', 'PERSON')	Pred: ('Q190897', 'Фиер')
('Q161885', 'британским', 'COUNTRY')	Pred: ('Q1804858', 'Вашим')
('Q62766', 'Jay-Z', 'PERSON')	Pred: ('Q62766', 'Джей-Зи')
('Q7450652', 'советниками Белого дома', 'PROFESSION')	Pred: ('Q786242', 'Глава администрации Белого дома')
('Q46919', 'Заслуженным артистом РСФСР', 'AWARD')	Pred: ('Q4188136', 'Заслуженный художник РСФСР')
('Q703534', 'служащего', 'PROFESSION')	Pred: ('Q382887', 'Госслужащие')
('Q145', 'England', 'COUNTRY')	Pred: ('Q199', 'Един')
('Q766', 'Ямайки', 'COUNTRY')	Pred: ('Q381945', 'Города Ямайки')
('Q122248', 'Геракла', 'PERSON')	Pred: ('Q1607758', 'Гераклион')
('Q229124', 'Ким Ю На', 'PERSON')	Pred: ('Q229124', 'Ким Ю На')
('Q4098713', 'Николай Булакин', 'PERSON')	Pred: ('Q4098713', 'Николай Булакин')
('Q1980377', 'Валентин Лаврентьевич Янин', 'PERSON')	Pred: ('Q1980377', 'Валентин Лаврентьевич Янин')
('Q44187', 'Кирилла', 'PERSON')	Pred: ('Q29404703', 'Кирилловщина')
('Q57640', 'Андрус Ансип', 'PERSON')	Pred: ('Q57640', 'Андрус Ансип')
('Q2865819', 'оперной певице', 'PROFESSION')	Pred: ('Q694747', 'Венская народная опера')
('Q21638478', 'губернатора Кемеровской области', 'PROFESSION')	Pred: ('Q20021028', 'История Кемеровской области')
('Q31113', 'Гоминьдан', 'ORGANIZATION')	Pred: ('Q31113', 'Гоминьдан')
('Q83155165', 'Руслан Владыко', 'PERSON')	Pred: ('Q28497293', 'Сергей Владыко')
('Q562945', 'А.\xa0П.\xa0Остроумовой', 'PERSON')	Pred: ('Q4085172', 'А. П. Становой')
('Q488994', 'Дейв Гаан', 'PERSON')	Pred: ('Q488994', 'Дейв Гаан')
('Q9685', 'Дианы', 'PERSON')	Pred: ('Q2659631', 'Дианы')
('Q583881', 'орденом Дружбы народов', 'AWARD')	Pred: ('Q583881', 'Дружбы народов орден')
('Q4093816', 'Алексей Борисов', 'PERSON')	Pred: ('Q4093816', 'Алексей Борисов')
('Q273613', 'князя', 'PROFESSION')	Pred: ('Q41183', 'Халап')
('Q280658', 'Нападающий', 'PROFESSION')	Pred: ('Q543457', 'Нападающий')
('Q6589202', 'МВД', 'ORGANIZATION')	Pred: ('Q6589202', 'МВД')
('Q66716743', 'вице-губернатор', 'PROFESSION')	Pred: ('Q382844', 'Генерал-губернатор')
('Q846570', 'американскому', 'NATIONALITY')	Pred: ('Q1164740', 'Американец')
('Q1191132', 'Нагойского университета', 'ORGANIZATION')	Pred: ('Q1191132', 'Нагойский университет')
('Q43070', 'Донецке', 'CITY')	Pred: ('Q1925725', 'Донецкое метро')
('Q1043104', 'Charlie Hebdo', 'ORGANIZATION')	Pred: ('Q641375', 'Дориат')
('Q11208', 'оборонного ведомства', 'ORGANIZATION')	Pred: ('Q55209768', 'Дом обороны')
('Q208508', 'Заливе Свиней', 'LOCATION')	Pred: ('Q4118131', 'Залингей')
('Q461589', 'Польский реквием', 'WORK_OF_ART')	Pred: ('Q1188487', 'Польский реквием')
('Q869', 'тайская', 'COUNTRY')	Pred: ('Q263997', 'Ганская')
('Q38', 'Италия', 'COUNTRY')	Pred: ('Q172579', 'Италия')
('Q9696', 'Джона Кеннеди', 'PERSON')	Pred: ('Q193484', 'Гибель Джона Кеннеди')
('Q179248', 'албанцев', 'NATIONALITY')	Pred: ('Q576065', 'Македоняне')
('Q6210964', 'Джо Локхарту', 'PERSON')	Pred: ('Q4236411', 'Джон Коуз')
('Q7971', 'Магаданской области', 'STATE_OR_PROVINCE')	Pred: ('Q4313689', 'Население Магаданской области')
('Q48283', 'Юлии Тимошенко', 'PERSON')	Pred: ('Q383371', 'Блок Юлии Тимошенко')
('Q181573', 'Искандер', 'PERSON')	Pred: ('Q375278', 'Искандер')
('Q132050', 'Губернатор', 'PROFESSION')	Pred: ('Q132050', 'Губернатор')
('Q170456', 'Припяти', 'CITY')	Pred: ('Q4379002', 'Припутни')
('Q3519259', 'графини', 'PROFESSION')	Pred: ('Q510887', 'Графлинг')
('Q17', 'Японии', 'COUNTRY')	Pred: ('Q332075', 'Закрытие Японии')
('Q49112', 'Йельском университете', 'ORGANIZATION')	Pred: ('Q154561', 'Йенский университет')
('Q200601', 'Католическом университете', 'ORGANIZATION')	Pred: ('Q1470431', 'Католический институт')
('Q3178120', 'Юность', 'ORGANIZATION')	Pred: ('Q3919668', 'Юность')
('Q23810', 'Нобелевских', 'PERSON')	Pred: ('Q4167249', 'Достоевские')
('Q1371509', 'Коллежа патафизики', 'ORGANIZATION')	Pred: ('Q1371509', 'Коллеж патафизики')
('Q719895', 'Volkswagen Transporter', 'PRODUCT')	Pred: ('Q405275', 'Двигатель Mitsubishi Orion')
('Q7914953', 'Ваниши Миттал', 'PERSON')	Pred: ('Q551576', 'Мори Канте')
('Q187009', 'Ликуд', 'ORGANIZATION')	Pred: ('Q187009', 'Ликуд')
('Q207405', 'Габор', 'PERSON')	Pred: ('Q669554', 'Кербор')
('Q2989412', 'Первого Доктор', 'PROFESSION')	Pred: ('Q4366601', 'Евгений Погожев')
('Q1569495', 'преподаватель', 'PROFESSION')	Pred: ('Q1376987', 'Новый колледж')
('Q55', 'Нидерландов', 'COUNTRY')	Pred: ('Q55', 'Нидерландов')
('Q715641', 'Госдумы', 'ORGANIZATION')	Pred: ('Q715641', 'Госдума')
('Q56876342', 'лидера Северной Кореи', 'PROFESSION')	Pred: ('Q16177095', 'Кинематограф Южной Кореи')
('Q1428575', 'летчики-космонавты', 'PROFESSION')	Pred: ('Q327132', 'Собаки-космонавты')
('Q1166', 'Мичигане', 'STATE_OR_PROVINCE')	Pred: ('Q4292712', 'Миганово')
('Q233591', 'Компартии', 'ORGANIZATION')	Pred: ('Q371402', 'Компартия Кубы')
('Q1540306', 'Тамбовской губернии', 'STATE_OR_PROVINCE')	Pred: ('Q1540306', 'Тамбовская губерния')
('Q1796940', 'Suzanne', 'WORK_OF_ART')	Pred: ('Q4312831', 'Нане')
('Q82955', 'политика', 'PROFESSION')	Pred: ('Q7163', 'Политика')
('Q2283', 'Microsoft', 'ORGANIZATION')	Pred: ('Q2283', 'История Microsoft')
('Q2571430', 'Михаила Сеспеля', 'PERSON')	Pred: ('Q4306156', 'Музей Михаила Сеспеля')
('Q706364', 'художественного директора', 'PROFESSION')	Pred: ('Q1885893', 'Майкл Билиракис')
('Q108367', 'Бандера', 'PERSON')	Pred: ('Q108367', 'Бандера')
('Q901', 'учёными', 'PROFESSION')	Pred: ('Q343161', 'Акты учёных')
('Q842386', 'премьер-министр РФ', 'PROFESSION')	Pred: ('Q842386', 'Премьер-министр Российской Федерации')
('Q1211343', 'Деревенщина в Беверли-Хиллз', 'WORK_OF_ART')	Pred: ('Q1211343', 'Деревенщина в Беверли-Хиллз')
('Q1492', 'Барселоне', 'CITY')	Pred: ('Q700581', 'Барселоннет')
('Q271805', 'NCAA', 'ORGANIZATION')	Pred: ('Q4074081', 'Ц300')
('Q41254', 'Грэмми', 'AWARD')	Pred: ('Q41254', 'Грэмми')
('Q145', 'Британского', 'COUNTRY')	Pred: ('Q920064', 'Британская')
('Q462390', 'доцент', 'PROFESSION')	Pred: ('Q1075373', 'Сав')
('Q1026', 'польских', 'NATIONALITY')	Pred: ('Q9377431', 'Войско польское')
('Q1476215', 'правозащитница', 'PROFESSION')	Pred: ('Q1476215', 'Правозащитница')
('Q740036', 'Дженезис Пи-Орридж', 'PERSON')	Pred: ('Q740036', 'Дженезис Пи-Орридж')
('Q828', 'Америку', 'LOCATION')	Pred: ('Q540219', 'Америку')
('Q123695', 'Верховный комиссар', 'PROFESSION')	Pred: ('Q4096450', 'Бригадный комиссар')
('Q866756', 'премьер-министра Сингапура', 'PROFESSION')	Pred: ('Q866756', 'Премьер-министр Сингапура')
('Q871588', 'Торгово-промышленной палаты России', 'ORGANIZATION')	Pred: ('Q871588', 'Торгово-промышленная палата России')
('Q947873', 'Ведущий', 'PROFESSION')	Pred: ('Q4105854', 'Ведущий')
('Q45376', 'Батькивщины', 'ORGANIZATION')	Pred: ('Q4079618', 'Батьки')
('Q466546', 'Зыкиной', 'PERSON')	Pred: ('Q4194820', 'Зыки')
('Q1377716', 'бельгийский', 'NATIONALITY')	Pred: ('Q330129', 'Франкский')
('Q11459', 'Серена Уильямс', 'PERSON')	Pred: ('Q11459', 'Серена Уильямс')
('Q392127', 'Виктор Васильевич Тихонов', 'PERSON')	Pred: ('Q392127', 'Виктор Васильевич Тихонов')
('Q188', 'немецком', 'LANGUAGE')	Pred: ('Q702193', 'Русский немец')
('Q560890', 'Бернар Казнев', 'PERSON')	Pred: ('Q560890', 'Бернар Казнев')
('Q41', 'Грецию', 'COUNTRY')	Pred: ('Q2594049', 'Гресия')
('Q1276', 'Коэна', 'PERSON')	Pred: ('Q704017', 'Ваэна')
('Q43297', 'Тайм', 'ORGANIZATION')	Pred: ('Q2397222', 'Тайм')
('Q11631', 'астронавтам', 'PROFESSION')	Pred: ('Q3674688', 'Авяруд')
('Q41583', 'Олимпийские надежды', 'EVENT')	Pred: ('Q381360', 'Олимпийские символы')
('Q5343', 'Саранской', 'CITY')	Pred: ('Q21147232', 'Сущинская')
('Q466546', 'Людмила Зыкина', 'PERSON')	Pred: ('Q466546', 'Людмила Зыкина')
('Q3322742', 'Ветвь Давидова', 'ORGANIZATION')	Pred: ('Q3322742', 'Ветвь Давидова')
('Q218295', 'президент России', 'PROFESSION')	Pred: ('Q218295', 'Президент России')
('Q414528', 'академика', 'PROFESSION')	Pred: ('Q84321', 'Кера')
('Q43723', 'Беньямином Нетаньяху', 'PERSON')	Pred: ('Q43723', 'Биби Нетаньяху')
('Q2108126', 'Прают Чан-Оча', 'PERSON')	Pred: ('Q2108126', 'Прают Чан-Оча')
('Q46', 'Европейская', 'LOCATION')	Pred: ('Q1542609', 'Европейская')
('Q30461', 'президентов', 'PROFESSION')	Pred: ('Q22918516', 'Былов')
('Q30', 'Америке', 'COUNTRY')	Pred: ('Q459090', 'Америка')
('Q3409203', 'Президентом Греции', 'PROFESSION')	Pred: ('Q3409203', 'Список президентов Греции')
('Q228801', 'Маккалоу', 'PERSON')	Pred: ('Q29943443', 'Маккалоу Кара')
('Q833', 'малайзийский', 'COUNTRY')	Pred: ('Q35668', 'Несийский язык')
('Q37922', 'Нобелевской премии по литературе 1997 года', 'AWARD')	Pred: ('Q7191', 'Лауреат Нобелевской премии')
('Q486839', 'Депутат', 'PROFESSION')	Pred: ('Q1055894', 'Депутат')
('Q35657', 'США', 'COUNTRY')	Pred: ('Q971694', 'США')
('Q327071', 'Полом Ревиром', 'PERSON')	Pred: ('Q12141827', 'Поломское')
('Q211511', 'Россия', 'ORGANIZATION')	Pred: ('Q211511', 'Россия')
('Q333886', 'Джорджтаунский университет', 'ORGANIZATION')	Pred: ('Q333886', 'Джорджтаунский университет')
('Q1519799', 'министерство здравоохранения', 'ORGANIZATION')	Pred: ('Q4294357', 'Министерство здравоохранения')
('Q99', 'Калифорнии', 'STATE_OR_PROVINCE')	Pred: ('Q301467', 'Калифорнии')
('Q13147738', 'Мэддокс', 'PERSON')	Pred: ('Q1094991', 'Том Мэддокс')
